,Unnamed: 0,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19939,19939,2010.0,Gilbert Arenas,PG,28.0,WAS,32.0,32.0,1169.0,18.7,0.511,0.294,0.336,1.6,11.6,6.5,36.3,1.8,0.6,14.2,31.9,,0.9,0.9,1.8,0.07200000000000001,,3.8,-1.3,2.5,1.3,253.0,616.0,0.41100000000000003,63.0,181.0,0.348,190.0,435.0,0.43700000000000006,0.462,153.0,207.0,0.7390000000000001,17.0,116.0,133.0,230.0,41.0,9.0,117.0,95.0,722.0
19978,19978,2010.0,Andray Blatche,PF,23.0,WAS,81.0,36.0,2256.0,17.6,0.519,0.044000000000000004,0.23399999999999999,7.9,18.2,13.0,13.8,2.0,2.4,14.2,25.8,,0.8,2.6,3.4,0.073,,-0.6,1.2,0.6,1.5,478.0,999.0,0.478,13.0,44.0,0.295,465.0,955.0,0.48700000000000004,0.485,174.0,234.0,0.7440000000000001,158.0,351.0,509.0,170.0,85.0,71.0,182.0,218.0,1143.0
19986,19986,2010.0,Earl Boykins,PG,33.0,WAS,67.0,1.0,1117.0,12.9,0.498,0.149,0.221,1.7,6.1,3.9,25.3,1.1,0.2,13.5,20.7,,0.6,0.3,1.0,0.042,,-1.4,-3.3,-4.7,-0.8,172.0,403.0,0.42700000000000005,19.0,60.0,0.317,153.0,343.0,0.446,0.45,77.0,89.0,0.865,17.0,58.0,75.0,171.0,24.0,3.0,69.0,48.0,440.0
20009,20009,2010.0,Caron Butler,SF,29.0,WAS,47.0,47.0,1853.0,13.5,0.506,0.13699999999999998,0.304,4.2,15.6,9.8,9.6,1.9,0.6,12.6,22.0,,0.4,1.7,2.1,0.054000000000000006,,-1.0,0.3,-0.8,0.6,293.0,694.0,0.42200000000000004,25.0,95.0,0.263,268.0,599.0,0.447,0.44,185.0,211.0,0.877,68.0,248.0,316.0,107.0,68.0,15.0,113.0,126.0,796.0
20048,20048,2010.0,Paul Davis,PF,25.0,WAS,2.0,0.0,8.0,33.3,0.512,0.0,0.5,0.0,0.0,0.0,73.8,0.0,9.5,0.0,27.6,,0.0,0.0,0.0,0.295,,4.5,-9.2,-4.7,0.0,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,1.0,2.0,0.5,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0
20091,20091,2010.0,Randy Foye,PG,26.0,WAS,70.0,38.0,1667.0,13.2,0.516,0.294,0.23399999999999999,1.1,8.0,4.5,22.6,1.0,0.5,12.1,21.1,,1.6,0.7,2.2,0.064,,0.1,-2.6,-2.5,-0.2,256.0,619.0,0.414,63.0,182.0,0.34600000000000003,193.0,437.0,0.442,0.46399999999999997,129.0,145.0,0.89,16.0,114.0,130.0,228.0,33.0,10.0,94.0,123.0,704.0
20101,20101,2010.0,Alonzo Gee,SG,22.0,WAS,11.0,2.0,182.0,16.2,0.564,0.153,0.49200000000000005,9.3,11.6,10.4,6.4,2.0,0.4,12.2,20.4,,0.3,0.1,0.4,0.10800000000000001,,0.2,-1.6,-1.4,0.0,28.0,59.0,0.475,7.0,9.0,0.778,21.0,50.0,0.42,0.534,18.0,29.0,0.621,15.0,18.0,33.0,7.0,7.0,1.0,10.0,13.0,81.0
20138,20138,2010.0,Mike Harris,PF,26.0,WAS,5.0,0.0,14.0,11.9,0.515,0.0,0.667,8.1,25.0,16.4,0.0,3.7,0.0,0.0,12.6,,0.0,0.0,0.1,0.179,,-4.0,-2.7,-6.7,0.0,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,3.0,0.33299999999999996,0.33299999999999996,2.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,4.0,4.0
20148,20148,2010.0,Brendan Haywood,C,30.0,WAS,49.0,48.0,1614.0,16.2,0.591,0.0,0.47200000000000003,14.1,22.2,18.1,1.7,0.6,4.8,14.2,13.2,,2.6,1.9,4.5,0.133,,-1.0,1.2,0.2,0.9,188.0,335.0,0.561,0.0,0.0,,188.0,335.0,0.561,0.561,102.0,158.0,0.6459999999999999,200.0,307.0,507.0,18.0,18.0,101.0,67.0,145.0,478.0
20170,20170,2010.0,Josh Howard,SF,29.0,WAS,4.0,3.0,91.0,19.2,0.529,0.239,0.435,5.0,11.6,8.2,8.2,1.7,1.7,5.2,28.8,,0.2,0.1,0.3,0.139,,1.3,-3.1,-1.9,0.0,20.0,46.0,0.435,3.0,11.0,0.273,17.0,35.0,0.486,0.467,15.0,20.0,0.75,4.0,9.0,13.0,4.0,3.0,2.0,3.0,13.0,58.0
